,DIVERSIDADE (DI),DI RELATIVO,FRAC Its,VELOC FOBJ,VELOC X,NP,F,CR
0,633.3780173663149,1.2130407064901518,0.06666666666666667,0.0,0.0,20.0,0.6396299728180098,0.7632576310188922
1,603.3929398340993,1.1556135166658412,0.1,1.0,2.0,10.0,0.5807329650843385,0.7535209193833166
2,698.4091853873591,1.3375878992205616,0.17666666666666667,2.0,2.0,23.0,0.8141820995518437,0.9385423644311064
3,557.4994973856861,1.0677187487318747,0.24333333333333335,0.0,0.0,20.0,0.7359274079808418,0.5622590293043291
4,447.20486046897634,0.8564833085695398,0.31333333333333335,0.0,0.0,21.0,0.6562657338924921,0.7350106080736706
5,11.432182493153844,0.02189482796684951,0.39,2.0,2.0,23.0,0.6653756949493284,0.34702772038871854
6,4.809642837606944,0.009211390963576427,0.43,1.0,2.0,12.0,0.6426538302552303,0.8336217155297737
7,1.3191375085663724,0.002526402008713151,0.49,2.0,2.0,18.0,0.4741714480540048,0.8060997445995914
8,0.279724327071515,0.0005357258793796572,0.5333333333333333,2.0,2.0,13.0,0.5057775545295682,0.1459338570552149
9,0.09314525809262256,0.00017839108176300204,0.6,2.0,1.0,20.0,0.40078515518024554,0.2041929830762116
