,DI RELATIVO,FRAC Its,VELOC FOBJ,VELOC X,DELTA FOBJ,DELTA VX
0,0.201605016175534,0.1111111111111111,0.0,0.0,0.0,0.0
1,0.13281987939477824,0.16666666666666666,2.0,2.0,2.0,2.0
2,0.10326476364500614,0.29444444444444445,0.0,2.0,-2.0,0.0
3,0.03981691313896655,0.4055555555555556,1.0,2.0,1.0,0.0
4,0.009487581760248677,0.5222222222222223,2.0,2.0,1.0,0.0
5,0.02908284332466065,0.65,0.0,0.0,-2.0,-2.0
6,0.001115495583413143,0.7166666666666667,2.0,1.0,2.0,1.0
7,0.00016068590450366694,0.8166666666666667,2.0,2.0,0.0,1.0
8,0.00015491495027942096,0.8888888888888888,0.0,0.0,-2.0,-2.0
9,0.000584484048187471,1.0,2.0,0.0,2.0,0.0
10,1.5338844538874443,0.14666666666666667,0.0,0.0,0.0,0.0
11,0.46128330069095,0.2533333333333333,2.0,2.0,2.0,2.0
12,0.0011285104439018971,0.2933333333333333,2.0,2.0,0.0,0.0
13,8.076573830578625e-05,0.36,2.0,0.0,0.0,-2.0
14,2.581254618337948e-05,0.4866666666666667,2.0,1.0,0.0,1.0
15,3.271139360826962e-06,0.5466666666666666,2.0,1.0,0.0,0.0
16,2.0426672110283427e-06,0.6933333333333334,2.0,1.0,0.0,0.0
17,2.823829521473249e-07,0.8,2.0,1.0,0.0,0.0
18,5.078029462079446e-08,0.8866666666666667,2.0,1.0,0.0,0.0
19,7.932549666417853e-09,1.0,2.0,1.0,0.0,0.0
20,0.9617833713925188,0.1111111111111111,0.0,0.0,0.0,0.0
21,0.4327547896959821,0.16666666666666666,1.0,2.0,1.0,2.0
22,0.5651360789364177,0.29444444444444445,2.0,0.0,1.0,-2.0
23,0.3569390969341336,0.4055555555555556,2.0,0.0,0.0,0.0
24,0.4330648545228736,0.5222222222222223,2.0,2.0,0.0,2.0
25,0.4372258116812887,0.65,2.0,0.0,0.0,-2.0
26,4.2982843264620786e-05,0.7166666666666667,2.0,2.0,0.0,2.0
27,2.5016568297562515e-06,0.8166666666666667,2.0,1.0,0.0,-1.0
28,3.37440684145968e-07,0.8888888888888888,2.0,1.0,0.0,0.0
29,4.129370988272479e-08,1.0,2.0,1.0,0.0,0.0
30,0.05264168739893678,0.10952380952380952,0.0,0.0,0.0,0.0
31,0.0026916356031108325,0.21428571428571427,2.0,1.0,2.0,1.0
32,2.952296317139343e-05,0.2571428571428571,2.0,1.0,0.0,0.0
33,1.8385385561955083e-06,0.3142857142857143,2.0,1.0,0.0,0.0
34,5.948733089979155e-05,0.43333333333333335,2.0,1.0,0.0,0.0
35,3.149843780974501e-07,0.5714285714285714,2.0,1.0,0.0,0.0
36,4.2723609861597874e-08,0.7190476190476189,2.0,1.0,0.0,0.0
37,5.103160596244804e-09,0.8190476190476189,2.0,1.0,0.0,0.0
38,6.344483666724062e-10,0.8666666666666667,2.0,1.0,0.0,0.0
39,6.473838061748627e-10,0.9528571428571428,2.0,0.0,0.0,-1.0
40,0.28445111793093,0.10952380952380952,0.0,0.0,0.0,0.0
41,0.2751301838897928,0.21428571428571427,2.0,2.0,2.0,2.0
42,0.005452350540215966,0.2571428571428571,2.0,1.0,0.0,-1.0
43,0.00032433103267043935,0.3142857142857143,2.0,1.0,0.0,0.0
44,0.06702053052971015,0.43333333333333335,1.0,0.0,-1.0,-1.0
45,1.8989709562464897e-05,0.5714285714285714,2.0,1.0,1.0,1.0
46,2.4835117753072134e-06,0.7190476190476189,2.0,1.0,0.0,0.0
47,1.4643814824555068e-07,0.8190476190476189,2.0,1.0,0.0,0.0
48,9.947168408055246e-09,0.8666666666666667,2.0,1.0,0.0,0.0
49,1.361486482658496e-06,0.9528571428571428,1.0,1.0,-1.0,0.0
